# all fluid columns: k0z, U1_lab [m/s], U3_lab [m/s], dU_raw [mm/s], dU_raw_se [mm/s], dU_paired [mm/s], dU_paired_se [mm/s], dU_raw_one_plane [mm/s], dU_raw_one_plane_se [mm/s]  (7 seeds)
-1.45291, -0.339888, -0.337899, 1.9888, 0.4241, 1.9499, 0.0906, 3.2284, 2.7221
-1.42992, -0.339874, -0.337896, 1.9782, 0.4317, 1.9522, 0.0945, 3.1538, 2.6305
-1.40711, -0.339862, -0.337893, 1.9686, 0.4380, 1.9516, 0.0980, 2.9657, 2.5215
-1.38448, -0.339853, -0.337893, 1.9600, 0.4434, 1.9480, 0.1014, 2.7490, 2.4160
-1.36203, -0.339846, -0.337895, 1.9512, 0.4490, 1.9399, 0.1048, 2.5083, 2.3524
-1.33973, -0.339841, -0.337897, 1.9438, 0.4551, 1.9303, 0.1087, 2.2930, 2.3378
-1.31758, -0.339838, -0.337897, 1.9418, 0.4620, 1.9227, 0.1132, 2.1598, 2.3528
-1.29557, -0.339840, -0.337895, 1.9449, 0.4685, 1.9186, 0.1179, 2.1134, 2.3798
-1.27371, -0.339845, -0.337893, 1.9518, 0.4738, 1.9170, 0.1224, 2.1412, 2.4085
-1.25197, -0.339853, -0.337894, 1.9587, 0.4785, 1.9150, 0.1273, 2.2220, 2.4442
-1.23035, -0.339862, -0.337900, 1.9626, 0.4838, 1.9106, 0.1322, 2.3205, 2.4805
-1.20886, -0.339873, -0.337909, 1.9636, 0.4901, 1.9031, 0.1357, 2.3924, 2.5133
-1.18747, -0.339885, -0.337924, 1.9609, 0.4975, 1.8905, 0.1374, 2.4850, 2.5643
-1.16619, -0.339898, -0.337943, 1.9543, 0.5050, 1.8719, 0.1374, 2.5779, 2.6178
-1.14501, -0.339912, -0.337966, 1.9454, 0.5124, 1.8486, 0.1359, 2.6780, 2.6700
-1.12392, -0.339925, -0.337993, 1.9318, 0.5189, 1.8204, 0.1329, 2.8090, 2.7427
-1.10292, -0.339939, -0.338026, 1.9132, 0.5238, 1.7870, 0.1289, 2.9397, 2.8254
-1.08201, -0.339954, -0.338064, 1.8901, 0.5290, 1.7489, 0.1251, 3.0415, 2.9038
-1.06118, -0.339971, -0.338108, 1.8636, 0.5343, 1.7051, 0.1206, 3.1380, 2.9686
-1.04042, -0.339988, -0.338156, 1.8322, 0.5386, 1.6551, 0.1149, 3.2313, 3.0182
-1.01974, -0.340007, -0.338209, 1.7980, 0.5407, 1.5999, 0.1083, 3.3049, 3.0566
-0.99913, -0.340029, -0.338268, 1.7606, 0.5412, 1.5382, 0.1021, 3.3477, 3.0667
-0.97858, -0.340053, -0.338334, 1.7182, 0.5403, 1.4706, 0.0962, 3.3804, 3.0729
-0.95810, -0.340076, -0.338405, 1.6707, 0.5378, 1.3992, 0.0900, 3.3992, 3.0912
-0.93767, -0.340098, -0.338481, 1.6171, 0.5343, 1.3223, 0.0834, 3.4057, 3.1311
-0.91730, -0.340119, -0.338564, 1.5550, 0.5294, 1.2364, 0.0775, 3.4403, 3.1808
-0.89698, -0.340137, -0.338652, 1.4842, 0.5233, 1.1434, 0.0727, 3.4484, 3.2268
-0.87671, -0.340154, -0.338748, 1.4054, 0.5172, 1.0423, 0.0691, 3.3636, 3.2485
-0.85649, -0.340172, -0.338851, 1.3208, 0.5112, 0.9325, 0.0669, 3.1976, 3.2398
-0.83632, -0.340191, -0.338961, 1.2300, 0.5060, 0.8154, 0.0668, 3.0011, 3.1967
-0.81618, -0.340208, -0.339076, 1.1319, 0.5021, 0.6919, 0.0693, 2.8152, 3.1289
-0.79609, -0.340223, -0.339195, 1.0284, 0.5002, 0.5629, 0.0739, 2.5990, 3.0653
-0.77603, -0.340238, -0.339320, 0.9183, 0.4994, 0.4280, 0.0798, 2.3414, 3.0039
-0.75601, -0.340251, -0.339450, 0.8006, 0.5001, 0.2879, 0.0863, 2.0464, 2.9417
-0.73603, -0.340261, -0.339587, 0.6740, 0.5014, 0.1423, 0.0923, 1.7632, 2.8902
-0.71608, -0.340267, -0.339729, 0.5385, 0.5036, -0.0093, 0.0972, 1.5457, 2.8465
-0.69616, -0.340270, -0.339875, 0.3950, 0.5053, -0.1666, 0.1004, 1.3194, 2.7932
-0.67626, -0.340271, -0.340026, 0.2445, 0.5057, -0.3280, 0.1024, 1.0621, 2.7281
-0.65640, -0.340270, -0.340181, 0.0889, 0.5055, -0.4924, 0.1039, 0.8154, 2.6381
-0.63656, -0.340271, -0.340342, -0.0703, 0.5045, -0.6611, 0.1050, 0.6229, 2.5418
-0.61675, -0.340275, -0.340510, -0.2349, 0.5032, -0.8379, 0.1066, 0.4587, 2.4569
-0.59695, -0.340279, -0.340686, -0.4070, 0.5008, -1.0247, 0.1091, 0.2716, 2.3700
-0.57719, -0.340284, -0.340871, -0.5863, 0.4966, -1.2211, 0.1128, 0.1212, 2.2783
-0.55744, -0.340293, -0.341064, -0.7713, 0.4905, -1.4256, 0.1179, -0.0010, 2.1937
-0.53771, -0.340304, -0.341266, -0.9619, 0.4830, -1.6380, 0.1250, -0.1290, 2.1431
-0.51800, -0.340317, -0.341478, -1.1608, 0.4746, -1.8581, 0.1341, -0.2574, 2.0974
-0.49831, -0.340329, -0.341700, -1.3702, 0.4644, -2.0870, 0.1441, -0.3904, 2.0500
-0.47864, -0.340340, -0.341932, -1.5913, 0.4528, -2.3254, 0.1544, -0.5266, 2.0263
-0.45898, -0.340349, -0.342174, -1.8249, 0.4397, -2.5723, 0.1645, -0.6942, 2.0410
-0.43933, -0.340356, -0.342427, -2.0703, 0.4249, -2.8272, 0.1738, -0.9063, 2.0458
-0.41971, -0.340362, -0.342690, -2.3283, 0.4079, -3.0917, 0.1824, -1.1056, 2.0284
-0.40009, -0.340363, -0.342964, -2.6008, 0.3885, -3.3688, 0.1896, -1.2701, 2.0075
-0.38049, -0.340361, -0.343248, -2.8864, 0.3679, -3.6594, 0.1957, -1.4542, 1.9840
-0.36090, -0.340358, -0.343542, -3.1838, 0.3472, -3.9635, 0.2013, -1.7318, 1.9827
-0.34132, -0.340354, -0.343844, -3.4900, 0.3273, -4.2768, 0.2068, -2.1261, 2.0377
-0.32175, -0.340349, -0.344152, -3.8032, 0.3087, -4.5950, 0.2120, -2.5678, 2.1214
-0.30219, -0.340342, -0.344465, -4.1230, 0.2926, -4.9149, 0.2173, -2.9701, 2.2342
-0.28264, -0.340333, -0.344784, -4.4509, 0.2785, -5.2400, 0.2231, -3.3994, 2.3758
-0.26310, -0.340324, -0.345109, -4.7846, 0.2647, -5.5727, 0.2303, -3.9099, 2.5236
-0.24357, -0.340321, -0.345439, -5.1180, 0.2491, -5.9115, 0.2395, -4.4427, 2.6862
-0.22405, -0.340325, -0.345776, -5.4516, 0.2322, -6.2579, 0.2505, -4.9618, 2.8992
-0.20453, -0.340331, -0.346123, -5.7919, 0.2152, -6.6144, 0.2615, -5.4531, 3.1206
-0.18503, -0.340338, -0.346480, -6.1420, 0.2006, -6.9824, 0.2717, -5.9017, 3.3310
-0.16552, -0.340346, -0.346849, -6.5031, 0.1920, -7.3614, 0.2821, -6.1909, 3.5137
-0.14603, -0.340357, -0.347231, -6.8743, 0.1913, -7.7508, 0.2920, -6.3276, 3.6370
-0.12654, -0.340366, -0.347625, -7.2586, 0.1993, -8.1480, 0.3014, -6.3792, 3.7031
-0.10706, -0.340371, -0.348029, -7.6581, 0.2162, -8.5521, 0.3095, -6.3393, 3.7576
-0.08758, -0.340371, -0.348444, -8.0728, 0.2422, -8.9632, 0.3167, -6.1069, 3.8078
-0.06811, -0.340373, -0.348864, -8.4914, 0.2795, -9.3760, 0.3225, -5.7010, 3.7938
-0.04865, -0.340386, -0.349294, -8.9079, 0.3357, -9.7895, 0.3310, -5.2379, 3.7331
-0.02918, -0.340402, -0.349671, -9.2687, 0.3931, -10.1499, 0.3446, -5.0613, 3.5910
-0.00973, -0.340447, -0.349900, -9.4530, 0.5436, -10.2515, 0.3527, -2.1092, 4.1456
