# all fluid columns: k0z, U1_lab [m/s], U3_lab [m/s], dU_raw [mm/s], dU_raw_se [mm/s], dU_paired [mm/s], dU_paired_se [mm/s], dU_raw_one_plane [mm/s], dU_raw_one_plane_se [mm/s]  (8 seeds)
-1.33973, -0.340112, -0.337889, 2.2231, 0.5359, 2.0338, 0.1410, NaN, NaN
-1.31758, -0.340112, -0.337925, 2.1866, 0.5435, 2.0096, 0.1429, NaN, NaN
-1.29557, -0.340114, -0.337966, 2.1476, 0.5495, 1.9790, 0.1436, NaN, NaN
-1.27371, -0.340117, -0.338011, 2.1055, 0.5532, 1.9431, 0.1434, NaN, NaN
-1.25197, -0.340120, -0.338061, 2.0591, 0.5550, 1.9041, 0.1431, NaN, NaN
-1.23035, -0.340123, -0.338114, 2.0091, 0.5559, 1.8648, 0.1427, NaN, NaN
-1.20886, -0.340127, -0.338172, 1.9556, 0.5563, 1.8257, 0.1421, NaN, NaN
-1.18747, -0.340132, -0.338233, 1.8986, 0.5566, 1.7851, 0.1409, NaN, NaN
-1.16619, -0.340135, -0.338298, 1.8371, 0.5563, 1.7413, 0.1395, NaN, NaN
-1.14501, -0.340140, -0.338369, 1.7708, 0.5552, 1.6927, 0.1375, NaN, NaN
-1.12392, -0.340145, -0.338445, 1.7002, 0.5529, 1.6379, 0.1353, NaN, NaN
-1.10292, -0.340152, -0.338526, 1.6263, 0.5504, 1.5768, 0.1335, NaN, NaN
-1.08201, -0.340161, -0.338611, 1.5504, 0.5477, 1.5115, 0.1325, NaN, NaN
-1.06118, -0.340171, -0.338700, 1.4713, 0.5451, 1.4405, 0.1324, NaN, NaN
-1.04042, -0.340182, -0.338797, 1.3847, 0.5425, 1.3606, 0.1323, NaN, NaN
-1.01974, -0.340192, -0.338901, 1.2906, 0.5403, 1.2742, 0.1312, NaN, NaN
-0.99913, -0.340202, -0.339011, 1.1919, 0.5388, 1.1841, 0.1303, NaN, NaN
-0.97858, -0.340214, -0.339123, 1.0913, 0.5377, 1.0924, 0.1307, NaN, NaN
-0.95810, -0.340227, -0.339239, 0.9880, 0.5365, 0.9978, 0.1338, NaN, NaN
-0.93767, -0.340239, -0.339358, 0.8804, 0.5354, 0.8979, 0.1400, NaN, NaN
-0.91730, -0.340248, -0.339481, 0.7673, 0.5344, 0.7920, 0.1489, NaN, NaN
-0.89698, -0.340255, -0.339607, 0.6474, 0.5329, 0.6800, 0.1601, NaN, NaN
-0.87671, -0.340258, -0.339739, 0.5196, 0.5306, 0.5604, 0.1721, NaN, NaN
-0.85649, -0.340259, -0.339876, 0.3824, 0.5278, 0.4325, 0.1827, NaN, NaN
-0.83632, -0.340257, -0.340019, 0.2378, 0.5248, 0.2997, 0.1915, NaN, NaN
-0.81618, -0.340254, -0.340166, 0.0873, 0.5226, 0.1626, 0.1982, NaN, NaN
-0.79609, -0.340250, -0.340318, -0.0682, 0.5209, 0.0209, 0.2026, NaN, NaN
-0.77603, -0.340246, -0.340475, -0.2287, 0.5200, -0.1248, 0.2043, NaN, NaN
-0.75601, -0.340241, -0.340635, -0.3942, 0.5195, -0.2756, 0.2035, NaN, NaN
-0.73603, -0.340237, -0.340802, -0.5654, 0.5191, -0.4320, 0.2003, NaN, NaN
-0.71608, -0.340232, -0.340974, -0.7420, 0.5190, -0.5925, 0.1947, NaN, NaN
-0.69616, -0.340228, -0.341152, -0.9247, 0.5197, -0.7585, 0.1872, NaN, NaN
-0.67626, -0.340222, -0.341336, -1.1145, 0.5213, -0.9329, 0.1791, NaN, NaN
-0.65640, -0.340215, -0.341527, -1.3120, 0.5239, -1.1148, 0.1706, NaN, NaN
-0.63656, -0.340207, -0.341723, -1.5159, 0.5273, -1.3011, 0.1623, NaN, NaN
-0.61675, -0.340199, -0.341925, -1.7264, 0.5309, -1.4909, 0.1546, NaN, NaN
-0.59695, -0.340191, -0.342134, -1.9434, 0.5347, -1.6856, 0.1477, NaN, NaN
-0.57719, -0.340184, -0.342349, -2.1651, 0.5394, -1.8850, 0.1430, NaN, NaN
-0.55744, -0.340179, -0.342569, -2.3899, 0.5447, -2.0866, 0.1409, NaN, NaN
-0.53771, -0.340176, -0.342795, -2.6189, 0.5504, -2.2919, 0.1408, NaN, NaN
-0.51800, -0.340175, -0.343027, -2.8525, 0.5569, -2.5010, 0.1430, NaN, NaN
-0.49831, -0.340176, -0.343266, -3.0906, 0.5640, -2.7144, 0.1469, NaN, NaN
-0.47864, -0.340179, -0.343511, -3.3319, 0.5714, -2.9338, 0.1520, NaN, NaN
-0.45898, -0.340187, -0.343761, -3.5745, 0.5788, -3.1585, 0.1573, NaN, NaN
-0.43933, -0.340197, -0.344016, -3.8189, 0.5865, -3.3878, 0.1629, NaN, NaN
-0.41971, -0.340209, -0.344277, -4.0679, 0.5942, -3.6239, 0.1682, NaN, NaN
-0.40009, -0.340222, -0.344545, -4.3227, 0.6020, -3.8669, 0.1731, NaN, NaN
-0.38049, -0.340234, -0.344820, -4.5853, 0.6092, -4.1185, 0.1779, NaN, NaN
-0.36090, -0.340246, -0.345103, -4.8570, 0.6163, -4.3814, 0.1835, NaN, NaN
-0.34132, -0.340255, -0.345395, -5.1397, 0.6237, -4.6584, 0.1905, NaN, NaN
-0.32175, -0.340263, -0.345698, -5.4346, 0.6323, -4.9508, 0.1985, NaN, NaN
-0.30219, -0.340271, -0.346011, -5.7398, 0.6416, -5.2555, 0.2069, NaN, NaN
-0.28264, -0.340279, -0.346333, -6.0543, 0.6507, -5.5717, 0.2152, NaN, NaN
-0.26310, -0.340289, -0.346667, -6.3776, 0.6595, -5.8988, 0.2227, NaN, NaN
-0.24357, -0.340301, -0.347010, -6.7088, 0.6671, -6.2333, 0.2285, NaN, NaN
-0.22405, -0.340315, -0.347364, -7.0488, 0.6727, -6.5743, 0.2323, NaN, NaN
-0.20453, -0.340331, -0.347729, -7.3974, 0.6763, -6.9218, 0.2334, NaN, NaN
-0.18503, -0.340350, -0.348103, -7.7531, 0.6782, -7.2761, 0.2331, NaN, NaN
-0.16552, -0.340369, -0.348485, -8.1158, 0.6781, -7.6368, 0.2334, NaN, NaN
-0.14603, -0.340390, -0.348873, -8.4835, 0.6757, -8.0017, 0.2365, NaN, NaN
-0.12654, -0.340412, -0.349265, -8.8531, 0.6706, -8.3688, 0.2426, NaN, NaN
-0.10706, -0.340437, -0.349661, -9.2238, 0.6619, -8.7407, 0.2511, NaN, NaN
-0.08758, -0.340465, -0.350058, -9.5923, 0.6487, -9.1172, 0.2606, NaN, NaN
-0.06811, -0.340496, -0.350453, -9.9562, 0.6324, -9.4985, 0.2717, NaN, NaN
-0.04865, -0.340527, -0.350842, -10.3151, 0.6131, -9.8835, 0.2902, NaN, NaN
-0.02918, -0.340548, -0.351219, -10.6718, 0.6072, -10.2651, 0.3167, NaN, NaN
-0.00973, -0.340518, -0.351277, -10.7586, 0.4973, -10.3003, 0.3562, NaN, NaN
